species,region,quantile,mean,median,lower,upper
podothecus accipenserinus,ebs,quantile_0.99,0.8453338725393826,0.8452378033089603,-0.5538016741181941,2.249972731611257
pollachius virens,neus,quantile_0.01,7.018029553302705,7.015105805615807,4.620114305174012,9.42338622594527
pomatomus saltatrix,neus,quantile_0.99,4.600010851415886,4.596483640671233,1.7765168544633065,7.421514884953833
porichthys notatus,wc,quantile_0.99,22.469606444202576,22.469483430163912,15.64191559523635,29.26103674955011
prionotus carolinus,neus,quantile_0.99,0.4469073124377645,0.4464981177465628,-0.08105646627558417,0.9733309993780462
prionotus evolans,neus,quantile_0.99,0.46463244710988433,0.4666455351291033,-0.3480662402579256,1.2686731650606822
pteraster obscurus,ebs,quantile_0.01,-3.9587496314479025,-3.9587399092471793,-5.0175552143021545,-2.906861650164602
pycnopodia helianthoides,wc,quantile_0.01,8.23363308780299,8.233753070491687,5.595754762741742,10.864352864547797
raja binoculata,wc,quantile_0.01,9.162083504430978,9.162292102010404,7.897388700093565,10.423169898795944
raja eglanteria,neus,quantile_0.99,-6.0837237363638605,-6.081496271462237,-9.413435265682406,-2.765159759842609
reinhardtius hippoglossoides,ebs,quantile_0.01,7.328419860534036,7.321893406503078,1.2124317424662001,13.434908108689376
scyliorhinus retifer,neus,quantile_0.99,-3.9756780994330976,-3.9742428790271553,-5.838670843257154,-2.1157452962198398
sebastes babcocki,wc,quantile_0.01,14.795617883211156,14.793133563368182,13.335496372442133,16.265632550016715
sebastes crameri,wc,quantile_0.01,10.840846601586307,10.84859398517975,5.028531584424448,16.647560699388666
sebastes elongatus,wc,quantile_0.01,3.647742531095956,3.649419298008606,-0.09063596314133347,7.382385268301085
sebastes fasciatus,neus,quantile_0.01,0.5285113196093566,0.5287126133204644,0.3014203327748281,0.7547101454010685
sebastes goodei,wc,quantile_0.01,8.534552929821258,8.534669068560406,7.1616715817720085,9.904422085175586
sebastes goodei,wc,quantile_0.99,11.137713012347003,11.13951494237459,7.952886888028818,14.303226874685976
sebastes jordani,wc,quantile_0.99,3.3724610038638336,3.370657364621608,-5.789070289531885,12.543751944605415
sebastes pinniger,wc,quantile_0.01,24.416450918884706,24.415188376035026,19.65060779905113,29.18494710202441
sebastes semicinctus,wc,quantile_0.99,-27.93417580863949,-27.91957886705581,-34.26332481513867,-21.59941093973057
squalus suckleyi,wc,quantile_0.01,5.2782369320023506,5.286576030925209,1.0565795755426826,9.478043592688934
squatina dumeril,neus,quantile_0.99,-2.8304253815029097,-2.832752672774232,-5.265086840890648,-0.39968854340589016
stenotomus chrysops,neus,quantile_0.99,-0.08704486510819065,-0.08910600421167494,-1.6465504974476881,1.4730195595073865
strongylocentrotus droebachiensis,ebs,quantile_0.01,0.880849352715538,0.881432363950823,-0.03968801019983895,1.8025105881751204
styela rustica,ebs,quantile_0.01,-0.051155304362795716,-0.05129386822434702,-0.7925248226643579,0.6941533802889225
styela rustica,ebs,quantile_0.99,0.9468796688770654,0.946217346862509,0.5055250056722289,1.3888428768426166
tautogolabrus adspersus,neus,quantile_0.01,10.758665526212983,10.754302789168019,8.937304570551463,12.579912947398803
telmessus cheiragonus,ebs,quantile_0.99,-0.13453191103957854,-0.13437952550068702,-0.41522261893596146,0.14724309860402998
thaleichthys pacificus,ebs,quantile_0.99,3.1962814602624356,3.196450994368642,-0.30188379959016814,6.6663129820648965
urophycis chuss,neus,quantile_0.01,14.347867221507423,14.342607489158034,12.458903749154741,16.23392290666817
urophycis regia,neus,quantile_0.99,-0.2861898341629059,-0.28499452457199725,-1.0541919572811858,0.481075963441197
urophycis tenuis,neus,quantile_0.01,11.977231990870258,11.978123319613662,9.48559516057221,14.455694574354746
zalembius rosaceus,wc,quantile_0.99,-9.341982147100737,-9.336654973817268,-13.751400743593267,-4.9629567882591035
zaniolepis latipinnis,wc,quantile_0.99,-13.372857263529239,-13.373889901281759,-20.801697162040778,-5.951895291617496
zoarces americanus,neus,quantile_0.01,1.1993976276093592,1.1994173778429742,0.7934106760418932,1.6057903347936542
